racksSingle103,racks/racksSingle103/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse label order
21.68,24.815,0,0,-90,0,K,none,5K067,5K065,
21.68,25.845,0,0,-90,0,K,none,5K071,5K069,
,,,,,,,,,,
21.68,31.055,0,0,-90,0,K,none,5K091,5K089,Aisle 5K-R (continued)
21.68,32.085,0,0,-90,0,K,none,5K095,5K093,
21.68,33.115,0,0,-90,0,K,none,5K099,5K097,
21.68,34.145,0,0,-90,0,K,none,5K103,5K101,
21.68,35.175,0,0,-90,0,K,none,5K107,5K105,
21.68,36.205,0,0,-90,0,K,none,5K111,5K109,
21.68,37.235,0,0,-90,0,K,none,5K115,5K113,
21.68,38.265,0,0,-90,0,K,none,5K119,5K117,
21.68,39.295,0,0,-90,0,K,none,5K123,5K121,
21.68,40.325,0,0,-90,0,K,none,5K127,5K125,
,,,,,,,,,,
22.24,9.365,0,0,90,0,L,none,5L006,5L008,Aisle 5L
22.24,10.395,0,0,90,0,L,none,5L010,5L012,
22.24,11.425,0,0,90,0,L,none,5L014,5L016,
22.24,12.455,0,0,90,0,L,none,5L018,5L020,
22.24,13.485,0,0,90,0,L,none,5L022,5L024,
22.24,14.515,0,0,90,0,L,none,5L026,5L028,
22.24,15.545,0,0,90,0,L,none,5L030,5L032,
22.24,16.575,0,0,90,0,L,none,5L034,5L036,
22.24,17.605,0,0,90,0,L,none,5L038,5L040,
22.24,18.635,0,0,90,0,L,none,5L042,5L044,
22.24,19.665,0,0,90,0,L,none,5L046,5L048,
22.24,20.695,0,0,90,0,L,none,5L050,5L052,
22.24,21.725,0,0,90,0,L,none,5L054,5L056,
22.24,22.755,0,0,90,0,L,none,5L058,5L060,
22.24,23.785,0,0,90,0,L,none,5L062,5L064,
22.24,24.815,0,0,90,0,L,none,5L066,5L068,
22.24,25.845,0,0,90,0,L,none,5L070,5L072,
,,,,,,,,,,
22.24,31.055,0,0,90,0,L,none,5L090,5L092,Aisle 5L (continued)
22.24,32.085,0,0,90,0,L,none,5L094,5L096,
22.24,33.115,0,0,90,0,L,none,5L098,5L100,
22.24,34.145,0,0,90,0,L,none,5L102,5L104,
22.24,35.175,0,0,90,0,L,none,5L106,5L108,
22.24,36.205,0,0,90,0,L,none,5L110,5L112,
22.24,37.235,0,0,90,0,L,none,5L114,5L116,
22.24,38.265,0,0,90,0,L,none,5L118,5L120,
22.24,39.295,0,0,90,0,L,none,5L122,5L124,
22.24,40.325,0,0,90,0,L,none,5L126,5L128,
,,,,,,,,,,
25.34,11.365,0,0,90,0,M,none,6M014,6M016,Aisle 6M
25.34,12.395,0,0,90,0,M,none,6M018,6M020,
25.34,13.425,0,0,90,0,M,none,6M022,6M024,
25.34,14.455,0,0,90,0,M,none,6M026,6M028,
25.34,15.485,0,0,90,0,M,none,6M030,6M032,
25.34,16.515,0,0,90,0,M,none,6M034,6M036,
25.34,17.545,0,0,90,0,M,none,6M038,6M040,
25.34,18.575,0,0,90,0,M,none,6M042,6M044,
25.34,19.605,0,0,90,0,M,none,6M046,6M048,
25.34,20.635,0,0,90,0,M,none,6M050,6M052,
25.34,21.665,0,0,90,0,M,none,6M054,6M056,
25.34,22.695,0,0,90,0,M,none,6M058,6M060,
25.34,23.725,0,0,90,0,M,none,6M062,6M064,
25.34,24.755,0,0,90,0,M,none,6M066,6M068,
25.34,25.785,0,0,90,0,M,none,6M070,6M072,
,,,,,,,,,,
25.34,30.995,0,0,90,0,M,none,6M090,6M092,Aisle 6M (continued)
25.34,32.025,0,0,90,0,M,none,6M094,6M096,
25.34,33.055,0,0,90,0,M,none,6M098,6M100,
25.34,34.085,0,0,90,0,M,none,6M102,6M104,
25.34,35.115,0,0,90,0,M,none,6M106,6M108,
25.34,36.145,0,0,90,0,M,none,6M110,6M112,
25.34,37.175,0,0,90,0,M,none,6M114,6M116,
25.34,38.205,0,0,90,0,M,none,6M118,6M120,
25.34,39.235,0,0,90,0,M,none,6M122,6M124,
25.34,40.265,0,0,90,0,M,none,6M126,6M128,
25.34,41.295,0,0,90,0,M,none,6M130,6M132,
25.34,42.325,0,0,90,0,M,none,6M134,6M136,
25.34,43.355,0,0,90,0,M,none,6M138,6M140,
25.34,44.385,0,0,90,0,M,none,6M142,6M144,
