racksDouble103,racks/racksDouble103/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse the label order
37.36,18.575,0,0,-90,0,Q,none,6Q043,6Q041,
37.36,19.605,0,0,-90,0,Q,none,6Q047,6Q045,
37.36,20.635,0,0,-90,0,Q,none,6Q051,6Q049,
37.36,21.665,0,0,-90,0,Q,none,6Q055,6Q053,
37.36,22.695,0,0,-90,0,Q,none,6Q059,6Q057,
37.36,23.725,0,0,-90,0,Q,none,6Q063,6Q061,
37.36,24.755,0,0,-90,0,Q,none,6Q067,6Q065,
37.36,25.785,0,0,-90,0,Q,none,6Q071,6Q069,
,,,,,,,,,,
37.36,30.995,0,0,-90,0,Q,none,6Q091,6Q089,6Q-R (cont)
37.36,32.025,0,0,-90,0,Q,none,6Q095,6Q093,
37.36,33.055,0,0,-90,0,Q,none,6Q099,6Q097,
37.36,34.085,0,0,-90,0,Q,none,6Q103,6Q101,
37.36,35.115,0,0,-90,0,Q,none,6Q107,6Q105,
37.36,36.145,0,0,-90,0,Q,none,6Q111,6Q109,
37.36,37.175,0,0,-90,0,Q,none,6Q115,6Q113,
37.36,38.205,0,0,-90,0,Q,none,6Q119,6Q117,
37.36,39.235,0,0,-90,0,Q,none,6Q123,6Q121,
37.36,40.265,0,0,-90,0,Q,none,6Q127,6Q125,
37.36,41.295,0,0,-90,0,Q,none,6Q131,6Q129,
37.36,42.325,0,0,-90,0,Q,none,6Q135,6Q133,
37.36,43.355,0,0,-90,0,Q,none,6Q139,6Q137,
37.36,44.385,0,0,-90,0,Q,none,6Q143,6Q141,
,,,,,,,,,,
38.54,11.365,0,0,90,0,R,none,6R014,6R016,Aisle 6R
38.54,12.395,0,0,90,0,R,none,6R018,6R020,
38.54,13.425,0,0,90,0,R,none,6R022,6R024,
38.54,14.455,0,0,90,0,R,none,6R026,6R028,
38.54,15.485,0,0,90,0,R,none,6R030,6R032,
38.54,16.515,0,0,90,0,R,none,6R034,6R036,
38.54,17.545,0,0,90,0,R,none,6R038,6R040,
38.54,18.575,0,0,90,0,R,none,6R042,6R044,
38.54,19.605,0,0,90,0,R,none,6R046,6R048,
38.54,20.635,0,0,90,0,R,none,6R050,6R052,
38.54,21.665,0,0,90,0,R,none,6R054,6R056,
38.54,22.695,0,0,90,0,R,none,6R058,6R060,
38.54,23.725,0,0,90,0,R,none,6R062,6R064,
38.54,24.755,0,0,90,0,R,none,6R066,6R068,
38.54,25.785,0,0,90,0,R,none,6R070,6R072,
,,,,,,,,,,
38.54,30.995,0,0,90,0,R,none,6R090,6R092,6R (cont)
38.54,32.025,0,0,90,0,R,none,6R094,6R096,
38.54,33.055,0,0,90,0,R,none,6R098,6R100,
38.54,34.085,0,0,90,0,R,none,6R102,6R104,
38.54,35.115,0,0,90,0,R,none,6R106,6R108,
38.54,36.145,0,0,90,0,R,none,6R110,6R112,
38.54,37.175,0,0,90,0,R,none,6R114,6R116,
38.54,38.205,0,0,90,0,R,none,6R118,6R120,
38.54,39.235,0,0,90,0,R,none,6R122,6R124,
38.54,40.265,0,0,90,0,R,none,6R126,6R128,
38.54,41.295,0,0,90,0,R,none,6R130,6R132,
38.54,42.325,0,0,90,0,R,none,6R134,6R136,
38.54,43.355,0,0,90,0,R,none,6R138,6R140,
38.54,44.385,0,0,90,0,R,none,6R142,6R144,
,,,,,,,,,,
40.78,11.365,0,0,-90,0,R,none,6R015,6R013,Aisle 6R-R
40.78,12.395,0,0,-90,0,R,none,6R019,6R017,
40.78,13.425,0,0,-90,0,R,none,6R023,6R021,
40.78,14.455,0,0,-90,0,R,none,6R027,6R025,
40.78,15.485,0,0,-90,0,R,none,6R031,6R029,
40.78,16.515,0,0,-90,0,R,none,6R035,6R033,
40.78,17.545,0,0,-90,0,R,none,6R039,6R037,
40.78,18.575,0,0,-90,0,R,none,6R043,6R041,
40.78,19.605,0,0,-90,0,R,none,6R047,6R045,
40.78,20.635,0,0,-90,0,R,none,6R051,6R049,
40.78,21.665,0,0,-90,0,R,none,6R055,6R053,
40.78,22.695,0,0,-90,0,R,none,6R059,6R057,
40.78,23.725,0,0,-90,0,R,none,6R063,6R061,
40.78,24.755,0,0,-90,0,R,none,6R067,6R065,
40.78,25.785,0,0,-90,0,R,none,6R071,6R069,
,,,,,,,,,,
40.78,30.995,0,0,-90,0,R,none,6R091,6R089,6R-R (cont)
40.78,32.025,0,0,-90,0,R,none,6R095,6R093,
40.78,33.055,0,0,-90,0,R,none,6R099,6R097,
40.78,34.085,0,0,-90,0,R,none,6R103,6R101,
40.78,35.115,0,0,-90,0,R,none,6R107,6R105,
40.78,36.145,0,0,-90,0,R,none,6R111,6R109,
40.78,37.175,0,0,-90,0,R,none,6R115,6R113,
40.78,38.205,0,0,-90,0,R,none,6R119,6R117,
40.78,39.235,0,0,-90,0,R,none,6R123,6R121,
40.78,40.265,0,0,-90,0,R,none,6R127,6R125,
40.78,41.295,0,0,-90,0,R,none,6R131,6R129,
40.78,42.325,0,0,-90,0,R,none,6R135,6R133,
40.78,43.355,0,0,-90,0,R,none,6R139,6R137,
40.78,44.385,0,0,-90,0,R,none,6R143,6R141,
,,,,,,,,,,
41.84,11.365,0,0,90,0,S,none,6S014,6S016,Aisle 6S
41.84,12.395,0,0,90,0,S,none,6S018,6S020,
41.84,13.425,0,0,90,0,S,none,6S022,6S024,
41.84,14.455,0,0,90,0,S,none,6S026,6S028,
41.84,15.485,0,0,90,0,S,none,6S030,6S032,
41.84,16.515,0,0,90,0,S,none,6S034,6S036,
41.84,17.545,0,0,90,0,S,none,6S038,6S040,
41.84,18.575,0,0,90,0,S,none,6S042,6S044,
41.84,19.605,0,0,90,0,S,none,6S046,6S048,
41.84,20.635,0,0,90,0,S,none,6S050,6S052,
